SEASON,SEASON_TYPE,TEAM_ABB,MATCHUP,GDATE,WL,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
2015-16,regular-season,-,04/13/2016,W,48,111.5,77.9,33.7,70.2,2.36,21.6,31.5,70.1,52.9,13.5,53.6,55.0,104.00,72.1,0
2015-16,regular-season,-,04/13/2016,W,48,137.1,104.8,32.3,73.2,3.15,27.0,21.2,73.6,53.5,12.4,72.7,74.9,104.50,67.0,0
2015-16,regular-season,-,04/13/2016,W,48,125.0,104.0,21.0,76.1,2.06,23.6,32.6,-,-,17.0,64.4,66.5,100.00,62.6,0
2015-16,regular-season,-,04/13/2016,W,48,114.7,102.0,12.7,68.1,3.20,23.0,-,84.6,-,9.8,61.0,62.0,101.50,60.2,0
2015-16,regular-season,-,04/13/2016,W,48,117.3,108.2,9.1,69.2,1.59,19.1,37.0,87.0,62.0,17.3,56.0,60.6,97.50,57.0,0
2015-16,regular-season,-,04/13/2016,W,48,108.6,99.1,9.5,57.8,1.53,17.1,36.8,77.8,56.8,16.2,49.0,52.4,105.50,55.9,0
2015-16,regular-season,-,04/13/2016,W,48,106.7,101.1,5.6,68.6,1.60,19.4,26.2,-,-,16.7,51.4,56.2,90.00,55.7,0
2015-16,regular-season,-,04/13/2016,W,48,110.1,98.9,11.2,54.1,2.86,16.1,32.0,68.6,50.5,7.9,45.9,51.2,89.00,55.3,0
2015-16,regular-season,-,04/13/2016,W,48,100.0,91.6,8.4,59.5,1.32,17.0,26.4,77.4,51.9,17.4,52.8,53.9,108.00,55.1,0
2015-16,regular-season,-,04/13/2016,W,53,109.8,111.1,-1.3,64.9,2.00,17.4,27.5,-,-,11.8,52.9,57.5,91.02,54.7,0
2015-16,regular-season,-,04/13/2016,W,48,109.6,104.3,5.2,58.5,2.67,17.8,34.5,83.0,58.3,9.6,51.1,51.7,93.00,53.7,0
2015-16,regular-season,-,04/13/2016,W,48,96.0,91.1,5.0,71.8,1.65,19.9,25.0,82.4,53.4,16.8,49.4,51.4,101.00,53.0,0
2015-16,regular-season,-,04/13/2016,W,48,105.9,98.0,7.9,48.7,1.12,14.0,31.4,62.1,47.7,16.8,50.0,54.2,101.00,52.8,0
2015-16,regular-season,-,04/13/2016,W,48,106.3,101.1,5.3,46.3,1.36,15.2,27.3,-,-,14.7,51.8,55.1,95.00,51.7,0
2015-16,regular-season,-,04/13/2016,L,48,101.1,106.3,-5.3,69.2,1.93,20.6,-,72.7,-,14.7,52.4,53.6,95.00,48.3,0
2015-16,regular-season,-,04/13/2016,L,48,98.0,105.9,-7.9,60.0,1.20,16.4,37.9,68.6,52.3,19.8,46.3,48.6,101.00,47.2,0
2015-16,regular-season,-,04/13/2016,L,48,91.1,96.0,-5.0,62.2,1.53,17.4,17.6,75.0,46.6,14.9,46.6,49.6,101.00,47.0,0
2015-16,regular-season,-,04/13/2016,L,48,104.3,109.6,-5.2,66.7,3.25,20.5,17.0,65.5,41.7,8.7,49.4,50.9,93.00,46.3,0
2015-16,regular-season,-,04/13/2016,L,53,111.1,109.8,1.3,45.7,2.10,15.7,-,72.5,-,10.1,51.0,53.1,91.02,45.3,0
2015-16,regular-season,-,04/13/2016,L,48,91.6,100.0,-8.4,68.8,0.96,15.6,22.6,73.6,48.1,21.5,46.3,51.8,108.00,44.9,0
2015-16,regular-season,-,04/13/2016,L,48,98.9,110.1,-11.2,36.8,1.40,11.8,31.4,68.0,49.5,11.2,44.3,47.2,89.00,44.7,0
2015-16,regular-season,-,04/13/2016,L,48,101.1,106.7,-5.6,64.5,1.67,16.5,-,73.8,-,13.3,48.1,52.8,90.00,44.3,0
2015-16,regular-season,-,04/13/2016,L,48,99.1,108.6,-9.5,53.5,1.53,16.5,22.2,63.2,43.2,14.2,49.5,51.8,105.50,44.1,0
2015-16,regular-season,-,04/13/2016,L,48,108.2,117.3,-9.1,75.7,2.15,21.5,13.0,63.0,38.0,13.4,56.2,59.0,97.50,43.0,0
2015-16,regular-season,-,04/13/2016,L,48,102.0,114.7,-12.7,52.4,2.20,16.9,15.4,-,-,9.9,50.5,52.1,101.50,39.8,0
2015-16,regular-season,-,04/13/2016,L,48,104.0,125.0,-21.0,59.5,1.92,17.5,-,67.4,-,13.0,46.9,49.5,100.00,37.4,0
2015-16,regular-season,-,04/13/2016,L,48,104.8,137.1,-32.3,77.5,1.94,20.8,26.4,78.8,46.5,15.4,49.5,53.6,104.50,33.0,0
2015-16,regular-season,-,04/13/2016,L,48,77.9,111.5,-33.7,65.6,1.05,14.6,29.9,68.5,47.1,19.2,39.1,39.8,104.00,27.9,0
2015-16,regular-season,-,04/12/2016,W,48,122.2,94.4,27.8,70.7,2.64,22.7,25.0,64.2,48.3,12.2,62.7,65.3,89.50,72.1,0
2015-16,regular-season,-,04/12/2016,W,48,128.4,102.1,26.3,52.1,1.79,17.5,-,79.2,-,14.7,55.8,59.0,95.50,61.5,0
2015-16,regular-season,-,04/12/2016,W,48,112.1,97.8,14.3,63.4,1.86,20.3,28.6,80.0,55.2,15.4,55.0,57.4,91.50,56.7,0
2015-16,regular-season,-,04/12/2016,W,48,106.5,100.0,6.5,39.5,1.00,12.6,27.3,-,-,16.1,53.2,56.5,93.00,54.1,0
2015-16,regular-season,-,04/12/2016,W,53,102.0,100.0,2.0,40.5,1.36,11.5,-,-,-,11.0,44.8,50.5,89.66,52.0,0
2015-16,regular-season,-,04/12/2016,L,53,100.0,102.0,-2.0,51.4,0.86,13.1,-,-,-,21.4,43.7,50.0,89.66,48.0,0
2015-16,regular-season,-,04/12/2016,L,48,100.0,106.5,-6.5,44.1,0.94,11.5,-,72.7,-,17.2,43.5,47.8,93.00,45.9,0
2015-16,regular-season,-,04/12/2016,L,48,97.8,112.1,-14.3,75.0,1.69,21.3,20.0,71.4,44.8,17.4,51.3,53.6,91.50,43.3,0
2015-16,regular-season,-,04/12/2016,L,48,102.1,128.4,-26.3,68.6,1.71,18.6,20.8,-,-,14.6,55.2,55.7,95.50,38.5,0
2015-16,regular-season,-,04/12/2016,L,48,94.4,122.2,-27.8,45.7,1.00,13.0,35.8,75.0,51.7,18.0,43.6,45.6,89.50,27.9,0
2015-16,regular-season,-,04/11/2016,W,48,112.0,78.2,33.8,64.3,2.25,18.6,30.0,80.0,55.0,12.0,50.0,51.9,100.50,68.6,0
2015-16,regular-season,-,04/11/2016,W,48,116.3,102.0,14.3,56.1,1.64,17.8,19.0,71.2,49.5,14.3,59.3,62.9,98.00,60.4,0
2015-16,regular-season,-,04/11/2016,W,48,110.3,103.2,7.2,68.3,2.80,20.3,31.3,63.4,46.1,10.3,53.0,55.5,96.00,58.7,0
2015-16,regular-season,-,04/11/2016,W,48,98.1,94.4,3.7,61.0,1.32,17.7,21.3,63.9,45.4,17.8,53.0,55.1,107.00,58.0,0
2015-16,regular-season,-,04/11/2016,W,48,111.2,97.9,13.3,42.5,1.13,13.7,24.4,79.2,54.1,15.3,54.8,59.4,97.00,57.8,0
2015-16,regular-season,-,04/11/2016,W,48,124.0,100.0,24.0,58.3,1.56,19.6,25.6,77.6,53.3,17.3,64.5,66.2,104.50,57.7,0
2015-16,regular-season,-,04/11/2016,W,48,116.5,107.8,8.7,58.7,1.93,19.0,26.7,72.4,52.4,13.6,56.7,60.3,103.00,54.9,0
2015-16,regular-season,-,04/11/2016,W,48,131.5,127.5,4.0,65.9,3.22,22.5,27.3,-,-,9.8,63.6,68.4,91.50,54.6,0
2015-16,regular-season,-,04/11/2016,W,48,112.2,103.4,8.9,52.8,2.11,15.8,27.1,84.4,54.8,10.0,51.2,55.7,89.50,54.3,0
2015-16,regular-season,-,04/11/2016,L,48,103.4,112.2,-8.9,60.0,2.10,17.9,15.6,72.9,45.2,11.2,51.3,54.2,89.50,45.7,0
2015-16,regular-season,-,04/11/2016,L,48,127.5,131.5,-4.0,68.3,2.80,21.4,-,72.7,-,11.0,58.8,62.8,91.50,45.4,0
2015-16,regular-season,-,04/11/2016,L,48,107.8,116.5,-8.7,54.5,2.40,16.9,27.6,73.3,47.6,9.7,50.0,51.8,103.00,45.1,0
2015-16,playoffs,-,06/19/2016,W,48,104.5,100.0,4.5,51.5,1.55,14.0,30.8,79.2,55.2,12.4,43.9,50.0,89.00,55.0,0
2015-16,playoffs,-,06/19/2016,L,48,100.0,104.5,-4.5,68.8,2.20,18.2,20.8,69.2,44.8,11.2,47.6,50.2,89.00,45.0,0
2015-16,playoffs,-,06/16/2016,W,48,117.3,105.2,12.1,60.0,2.00,18.3,25.0,75.5,53.8,12.2,58.4,63.1,97.00,65.6,0
2015-16,playoffs,-,06/16/2016,L,48,105.2,117.3,-12.1,57.6,1.36,14.8,24.5,75.0,46.2,14.6,49.4,53.3,97.00,34.4,0
2015-16,playoffs,-,06/13/2016,W,48,114.3,99.0,15.3,34.1,0.94,12.1,26.7,63.8,47.6,16.3,59.0,60.1,98.00,60.5,0
2015-16,playoffs,-,06/13/2016,L,48,99.0,114.3,-15.3,56.3,1.06,13.3,36.2,73.3,52.4,17.3,44.3,48.8,98.00,39.5,0
2015-16,playoffs,-,06/10/2016,W,48,125.6,114.1,11.5,69.7,2.56,18.0,42.3,61.2,51.5,10.5,51.2,57.1,85.50,59.4,0
2015-16,playoffs,-,06/10/2016,L,48,114.1,125.6,-11.5,39.5,1.36,12.6,38.8,57.7,48.5,12.9,50.6,52.5,85.50,40.6,0
2015-16,playoffs,-,06/08/2016,W,48,126.3,94.7,31.6,47.9,1.64,16.8,41.3,79.6,61.1,14.7,59.3,60.9,95.00,67.7,0
2015-16,playoffs,-,06/08/2016,L,48,94.7,126.3,-31.6,65.6,1.17,16.7,20.4,58.7,38.9,18.9,48.0,51.5,95.00,32.3,0
2015-16,playoffs,-,06/05/2016,W,48,115.8,81.9,33.9,59.1,1.24,19.4,32.5,70.9,54.7,22.1,63.6,64.4,94.50,71.7,0
2015-16,playoffs,-,06/05/2016,L,48,81.9,115.8,-33.9,53.6,0.83,12.1,29.1,67.5,45.3,19.1,38.6,43.0,94.50,28.3,0
2015-16,playoffs,-,06/02/2016,W,48,114.3,96.7,17.5,67.4,3.22,22.5,22.2,62.3,43.9,9.9,54.6,56.9,91.50,62.4,0
2015-16,playoffs,-,06/02/2016,L,48,96.7,114.3,-17.5,53.1,1.00,13.4,37.7,77.8,56.1,18.5,42.3,48.0,91.50,37.6,0
2015-16,playoffs,-,05/30/2016,W,48,110.3,102.3,8.0,54.1,1.82,16.5,30.6,68.4,50.9,12.6,53.5,54.2,86.50,52.6,0
2015-16,playoffs,-,05/30/2016,L,48,102.3,110.3,-8.0,58.8,2.86,16.1,31.6,69.4,49.1,8.1,42.1,45.6,86.50,47.4,0
2015-16,playoffs,-,05/28/2016,W,48,110.2,105.2,5.0,63.9,1.53,16.4,35.7,59.6,47.8,15.3,52.8,54.8,97.00,52.4,0
2015-16,playoffs,-,05/28/2016,L,48,105.2,110.2,-5.0,42.1,1.07,11.9,40.4,64.3,52.2,15.6,43.9,48.5,97.00,47.6,0
2015-16,playoffs,-,05/27/2016,W,48,127.0,96.7,30.3,55.0,2.00,19.0,14.3,74.5,48.8,12.4,65.5,67.9,89.50,68.5,0
2015-16,playoffs,-,05/27/2016,L,48,96.7,127.0,-30.3,30.3,0.77,9.0,25.5,85.7,51.2,14.4,46.8,50.3,89.50,31.5,0
2015-16,playoffs,-,05/26/2016,W,48,116.5,106.7,9.8,62.5,1.56,17.7,28.3,70.9,51.5,15.5,52.4,60.0,103.50,59.1,0
2015-16,playoffs,-,05/26/2016,L,48,106.7,116.5,-9.8,59.0,1.35,16.2,29.1,71.7,48.5,16.3,50.0,54.6,103.50,40.9,0
2015-16,playoffs,-,05/25/2016,W,48,122.1,83.0,39.1,52.3,1.35,17.8,34.3,78.8,60.9,17.9,63.6,66.2,94.50,78.1,0
2015-16,playoffs,-,05/25/2016,L,48,83.0,122.1,-39.1,70.4,1.00,15.4,21.2,65.7,39.1,20.2,41.3,46.2,94.50,21.9,0
2015-16,playoffs,-,05/24/2016,W,48,110.3,87.0,23.2,59.0,1.28,15.2,39.3,80.8,59.3,16.8,48.3,54.8,107.50,66.9,0
2015-16,playoffs,-,05/24/2016,L,48,87.0,110.3,-23.2,45.5,0.71,11.4,19.2,60.7,40.7,19.4,46.9,50.7,107.50,33.1,0
2015-16,playoffs,-,05/23/2016,W,48,122.1,112.5,9.6,40.5,1.89,15.2,-,68.9,-,10.5,58.3,60.8,87.00,52.2,0
2015-16,playoffs,-,05/23/2016,L,48,112.5,122.1,-9.6,59.0,2.09,18.9,31.1,-,-,12.5,54.8,56.9,87.00,47.8,0
2015-16,playoffs,-,05/22/2016,W,48,125.5,100.0,25.5,45.7,1.75,14.7,35.4,75.4,57.1,11.3,54.3,61.4,105.50,63.7,0
2015-16,playoffs,-,05/22/2016,L,48,100.0,125.5,-25.5,50.0,1.36,13.9,24.6,64.6,42.9,13.3,46.7,51.0,105.50,36.3,0
2015-16,playoffs,-,05/21/2016,W,48,115.1,100.0,15.1,39.5,1.50,12.9,-,-,-,11.6,53.0,55.8,85.00,55.7,0
2015-16,playoffs,-,05/21/2016,L,48,100.0,115.1,-15.1,53.6,1.67,13.8,-,-,-,10.7,44.3,48.8,85.00,44.3,0
2015-16,playoffs,-,05/19/2016,W,48,112.5,92.7,19.8,63.2,2.18,18.5,23.3,84.0,55.9,11.5,54.6,58.5,96.00,66.3,0
2015-16,playoffs,-,05/19/2016,L,48,92.7,112.5,-19.8,51.5,1.42,14.0,16.0,76.7,44.1,12.5,45.7,49.5,96.00,33.7,0
2015-16,playoffs,-,05/18/2016,W,48,131.1,101.1,30.0,60.5,2.17,19.1,-,69.6,-,13.3,58.2,60.6,90.00,60.5,0
2015-16,playoffs,-,05/18/2016,L,48,101.1,131.1,-30.0,62.9,1.38,17.6,30.4,-,-,17.8,49.4,52.7,90.00,39.5,0
2015-16,playoffs,-,05/17/2016,W,48,122.3,87.5,34.8,53.7,1.29,17.2,33.3,84.4,61.7,18.1,60.1,65.0,95.00,71.4,0
2015-16,playoffs,-,05/17/2016,L,48,87.5,122.3,-34.8,59.4,1.36,15.8,15.6,66.7,38.3,14.6,45.4,49.5,95.00,28.6,0
2015-16,playoffs,-,05/16/2016,W,48,101.9,98.1,3.8,56.4,1.83,15.6,24.5,82.7,53.3,11.3,48.3,52.4,105.00,55.3,0
2015-16,playoffs,-,05/16/2016,L,48,98.1,101.9,-3.8,65.0,1.86,18.7,17.3,75.5,46.7,13.5,50.0,51.8,105.00,44.7,0
2015-16,playoffs,-,05/15/2016,W,48,128.9,97.8,31.1,43.6,1.55,12.9,47.2,78.0,60.6,12.2,51.2,55.8,90.50,62.7,0
2015-16,playoffs,-,05/15/2016,L,48,97.8,128.9,-31.1,50.0,1.14,13.9,22.0,52.8,39.4,15.4,49.3,54.2,90.50,37.3,0
2015-16,playoffs,-,05/13/2016,W,48,110.8,100.0,10.8,37.5,2.14,12.8,23.4,76.5,51.0,7.5,51.8,55.5,92.00,57.8,0
2015-16,playoffs,-,05/13/2016,L,48,100.0,110.8,-10.8,29.4,1.00,8.8,23.5,76.6,49.0,11.0,43.9,48.9,92.00,42.2,0
2015-16,playoffs,-,05/12/2016,W,48,116.5,102.1,14.4,52.5,1.75,15.7,34.0,73.6,55.0,12.4,50.6,57.3,97.00,59.3,0
2015-16,playoffs,-,05/12/2016,L,48,102.1,116.5,-14.4,47.5,1.90,14.8,26.4,66.0,45.0,10.3,46.2,49.5,97.00,40.7,0
2015-16,playoffs,-,05/11/2016,W,48,110.0,102.2,7.8,45.7,1.78,13.2,31.9,64.6,48.4,10.0,47.5,53.5,89.50,59.1,0
2015-16,playoffs,-,05/11/2016,W,48,119.0,114.2,4.9,65.1,1.75,19.7,-,69.6,-,15.2,59.5,64.6,105.50,54.6,0
2015-16,playoffs,-,05/11/2016,L,48,114.2,119.0,-4.9,52.6,1.82,14.2,30.4,-,-,10.4,50.0,55.4,105.50,45.4,0
2015-16,playoffs,-,05/11/2016,L,48,102.2,110.0,-7.8,38.7,0.80,10.2,35.4,68.1,51.6,16.9,44.2,50.9,89.50,40.9,0
2015-16,all-star,-,02/14/2016,W,48,136.1,119.3,16.8,62.2,3.64,23.6,30.9,68.8,49.2,9.7,65.4,65.4,144.50,56.9,0
2015-16,all-star,-,02/14/2016,L,48,119.3,136.1,-16.8,45.3,1.42,17.3,31.3,69.1,50.8,16.6,62.0,62.1,144.50,43.1,0
2015-16,all-star,-,02/12/2016,W,40,94.9,80.8,14.1,59.4,1.46,16.0,44.4,78.3,60.0,16.7,43.6,42.6,93.60,60.0,0
2015-16,all-star,-,02/12/2016,L,40,133.9,135.3,-1.4,67.2,2.37,25.1,-,67.3,-,16.5,67.1,67.2,138.60,51.5,0
2015-16,all-star,-,02/12/2016,W,40,135.3,133.9,1.4,55.4,3.27,21.6,32.7,-,-,9.5,64.2,65.4,138.60,48.5,0
2015-16,all-star,-,02/12/2016,L,40,80.8,94.9,-14.1,60.9,1.27,13.9,21.7,55.6,40.0,14.1,41.9,42.9,93.60,40.0,0
2016-17,pre-season,-,10/21/2016,W,48,106.9,73.3,33.6,51.2,1.11,15.2,32.6,79.3,58.7,18.6,54.2,57.6,101.50,81.9,0
2016-17,pre-season,-,10/21/2016,W,48,107.4,80.6,26.8,66.7,1.24,19.4,36.8,82.0,62.5,22.3,55.3,60.2,93.50,74.9,0
2016-17,pre-season,-,10/21/2016,W,48,122.7,85.4,37.3,67.3,1.94,23.2,31.6,-,-,17.5,65.9,65.9,96.50,74.3,0
2016-17,pre-season,-,10/21/2016,W,48,111.8,98.0,13.7,68.9,2.38,21.8,22.7,76.7,53.8,12.7,55.1,59.1,101.50,62.5,0
2016-17,pre-season,-,10/21/2016,W,48,103.9,94.1,9.8,69.2,1.93,19.4,19.2,83.6,52.3,13.6,52.8,55.9,102.50,55.5,0
2016-17,pre-season,-,10/21/2016,W,48,88.3,85.5,2.8,48.6,0.81,11.6,31.7,75.4,52.5,18.9,42.1,46.7,110.50,54.1,0
2016-17,pre-season,-,10/21/2016,L,48,105.8,108.7,-2.9,32.4,0.63,9.4,-,72.7,-,18.3,54.1,58.2,104.00,53.3,0
2016-17,pre-season,-,10/21/2016,W,48,108.7,105.8,2.9,32.5,0.87,9.8,27.3,-,-,14.4,48.3,53.8,104.00,46.7,0
2016-17,pre-season,-,10/21/2016,L,48,85.5,88.3,-2.8,58.8,0.83,13.9,24.6,68.3,47.5,21.8,43.1,47.1,110.50,45.9,0
2016-17,pre-season,-,10/21/2016,L,48,94.1,103.9,-9.8,62.2,1.64,17.3,16.4,80.8,47.7,13.7,46.1,49.1,102.50,44.5,0
2016-17,pre-season,-,10/21/2016,L,48,98.0,111.8,-13.7,52.6,1.67,14.9,23.3,77.3,46.2,11.9,45.2,48.2,101.50,37.5,0
2016-17,pre-season,-,10/21/2016,L,48,85.4,122.7,-37.3,27.6,0.57,6.9,-,68.4,-,14.6,37.8,44.1,96.50,25.7,0
2016-17,pre-season,-,10/21/2016,L,48,80.6,107.4,-26.8,56.7,1.06,14.4,18.0,63.2,37.5,17.2,41.1,44.0,93.50,25.1,0
2016-17,pre-season,-,10/21/2016,L,48,73.3,106.9,-33.6,32.0,0.42,6.7,20.7,67.4,41.3,18.8,33.5,40.3,101.50,18.1,0
2016-17,pre-season,-,10/20/2016,W,48,97.0,81.8,15.2,82.5,1.74,22.9,27.7,73.9,55.2,19.0,51.8,53.5,99.50,63.5,0
2016-17,pre-season,-,10/20/2016,W,48,99.0,91.7,7.3,64.7,1.38,16.8,27.5,71.7,51.4,16.5,46.3,51.9,96.50,56.6,0
2016-17,pre-season,-,10/20/2016,W,53,102.7,100.0,2.7,62.8,1.80,17.4,30.0,70.2,49.6,13.5,47.0,51.1,100.53,52.8,0
2016-17,pre-season,-,10/20/2016,W,48,106.4,100.0,6.4,63.6,1.17,18.4,31.9,82.2,56.5,22.0,52.8,57.2,110.00,52.3,0
2016-17,pre-season,-,10/20/2016,L,48,100.0,106.4,-6.4,71.8,1.17,19.2,17.8,68.1,43.5,21.6,56.1,60.0,110.00,47.7,0
2016-17,pre-season,-,10/20/2016,L,53,100.0,102.7,-2.7,56.1,1.21,15.5,29.8,70.0,50.4,17.1,47.9,51.9,100.53,47.2,0
2016-17,pre-season,-,10/20/2016,L,48,91.7,99.0,-7.3,74.2,1.35,17.0,28.3,72.5,48.6,17.7,43.0,46.4,96.50,43.4,0
2016-17,pre-season,-,10/20/2016,L,48,81.8,97.0,-15.2,82.8,2.40,17.0,26.1,72.3,44.8,10.1,32.6,38.5,99.50,36.5,0
2016-17,pre-season,-,10/19/2016,W,48,116.3,92.3,24.0,73.3,2.54,21.0,39.2,67.3,53.4,12.5,52.2,56.1,104.00,70.4,0
2016-17,pre-season,-,10/19/2016,W,48,97.1,92.2,5.0,58.1,0.86,13.5,-,70.4,-,20.2,43.3,54.3,103.00,63.2,0
2016-17,pre-season,-,10/19/2016,W,48,113.9,103.7,10.2,77.3,2.43,22.2,23.4,-,-,13.0,53.8,59.7,108.00,60.4,0
2016-17,pre-season,-,10/19/2016,W,48,108.2,92.9,15.3,48.6,1.29,13.6,32.7,75.5,54.3,14.3,50.0,53.9,98.00,57.7,0
2016-17,pre-season,-,10/19/2016,W,48,108.4,96.8,11.6,52.6,1.67,15.3,31.4,86.4,56.8,12.6,48.3,52.5,95.00,54.1,0
2016-17,pre-season,-,10/19/2016,W,48,111.0,102.0,9.0,65.8,1.04,17.5,40.9,73.6,58.8,24.0,53.2,59.3,100.50,53.5,0
2016-17,pre-season,-,10/19/2016,L,48,92.3,96.7,-4.4,69.0,2.22,16.9,14.0,79.1,44.1,9.9,41.7,47.7,91.00,52.5,0
2016-17,pre-season,-,10/19/2016,W,48,96.7,92.3,4.4,47.2,1.00,14.7,20.9,86.0,55.9,18.7,52.6,54.0,91.00,47.5,0
2016-17,pre-season,-,10/19/2016,L,48,102.0,111.0,-9.0,66.7,2.36,18.7,26.4,59.1,41.2,10.9,46.7,51.6,100.50,46.5,0
2016-17,pre-season,-,10/19/2016,L,48,96.8,108.4,-11.6,57.1,1.43,16.5,13.6,68.6,43.2,14.7,48.7,53.6,95.00,45.9,0
2016-17,pre-season,-,10/19/2016,L,48,92.9,108.2,-15.3,64.5,1.33,15.3,24.5,67.3,45.7,15.3,41.6,48.6,98.00,42.3,0
2016-17,pre-season,-,10/19/2016,L,48,103.7,113.9,-10.2,66.7,1.27,18.2,-,76.6,-,20.4,53.3,54.4,108.00,39.6,0
2016-17,pre-season,-,10/19/2016,L,48,92.2,97.1,-5.0,42.4,0.64,10.6,29.6,-,-,21.6,45.8,49.3,103.00,36.8,0
2016-17,pre-season,-,10/19/2016,L,48,92.3,116.3,-24.0,54.3,0.83,13.8,32.7,60.8,46.6,22.1,45.8,50.5,104.00,29.6,0
2016-17,pre-season,-,10/18/2016,W,48,111.5,81.1,30.4,53.5,1.64,18.1,19.5,71.2,50.0,14.6,57.1,60.2,95.50,72.5,0
2016-17,pre-season,-,10/18/2016,W,48,97.0,87.9,9.1,59.5,1.67,17.9,28.3,66.7,49.6,15.0,46.8,48.7,99.50,58.7,0
2016-17,pre-season,-,10/18/2016,W,48,95.0,87.3,7.8,69.4,1.32,17.6,29.6,79.2,54.2,18.8,45.3,49.3,101.50,57.1,0
2016-17,pre-season,-,10/18/2016,W,48,93.2,87.5,5.7,58.8,1.25,15.2,17.6,82.4,50.0,15.5,45.1,50.2,103.50,56.6,0
2016-17,pre-season,-,10/18/2016,W,48,94.8,91.8,3.1,77.1,1.50,21.1,-,-,-,18.6,53.2,56.2,97.00,52.4,0
2016-17,pre-season,-,10/18/2016,L,48,91.8,94.8,-3.1,64.7,1.00,16.7,-,-,-,22.7,45.1,50.0,97.00,47.6,0
2016-17,pre-season,-,10/18/2016,L,48,87.5,93.2,-5.7,66.7,1.20,17.9,17.6,82.4,50.0,19.2,48.8,49.6,103.50,43.4,0
2016-17,pre-season,-,10/18/2016,L,48,87.3,95.0,-7.8,60.6,1.18,15.2,20.8,70.4,45.8,16.7,42.9,47.4,101.50,42.9,0
2016-17,pre-season,-,10/18/2016,L,48,87.9,97.0,-9.1,46.9,0.94,11.0,33.3,71.7,50.4,16.2,37.0,41.3,99.50,41.3,0
2016-17,pre-season,-,10/18/2016,L,48,81.1,111.5,-30.4,46.4,0.76,10.5,28.8,80.5,50.0,17.9,34.9,41.2,95.50,27.5,0
2016-17,pre-season,-,10/17/2016,W,48,112.1,86.7,25.4,62.2,1.64,18.7,25.0,75.9,54.3,15.4,57.2,60.8,90.50,66.3,0
2016-17,pre-season,-,10/17/2016,W,48,105.1,79.6,25.5,57.5,1.35,18.1,18.6,87.2,54.4,17.2,57.8,59.4,98.50,65.6,0
2016-17,pre-season,-,10/17/2016,W,48,112.1,91.7,20.5,59.5,1.00,16.9,34.8,82.1,60.8,23.4,55.8,60.8,107.50,61.8,0
2016-17,pre-season,-,10/17/2016,L,53,96.3,100.9,-4.6,65.0,1.37,17.3,30.4,65.7,50.0,17.6,46.3,50.6,97.36,50.0,0
2016-17,regular-season,-,04/12/2017,W,48,107.7,70.2,37.5,68.3,2.15,19.0,27.8,-,-,12.5,50.5,53.7,104.00,72.8,0
2016-17,regular-season,-,04/12/2017,W,48,103.8,90.4,13.4,63.4,1.24,17.6,35.8,78.2,57.4,20.0,52.2,54.7,104.50,61.1,0
2016-17,regular-season,-,04/12/2017,W,48,115.6,94.5,21.1,53.8,2.10,17.2,25.0,75.6,50.6,11.1,53.7,57.5,90.50,61.1,0
2016-17,regular-season,-,04/12/2017,W,48,111.9,109.0,2.9,64.3,2.45,20.0,17.8,66.7,47.9,10.9,55.7,59.8,100.50,59.5,0
2016-17,regular-season,-,04/12/2017,W,48,127.8,105.6,22.2,67.4,4.83,22.1,-,77.3,-,6.7,57.8,61.2,90.00,59.1,0
2016-17,regular-season,-,04/12/2017,W,48,115.5,97.9,17.5,75.6,3.88,21.7,29.6,75.0,51.0,8.2,52.2,55.2,96.50,58.3,0
2016-17,regular-season,-,04/12/2017,W,48,107.7,91.2,16.5,50.0,2.22,16.1,29.2,78.4,54.5,9.9,51.2,52.7,91.00,57.7,0
2016-17,regular-season,-,04/12/2017,W,48,111.1,104.5,6.6,63.6,1.75,17.1,28.3,60.4,45.5,13.3,50.0,56.4,89.50,56.9,0
2016-17,regular-season,-,04/12/2017,W,48,103.7,97.2,6.5,56.4,1.29,15.9,20.4,73.3,49.5,15.9,50.0,56.0,107.50,54.0,0
2016-17,regular-season,-,04/12/2017,W,48,114.6,107.4,7.2,41.3,1.06,14.7,37.2,-,-,18.8,56.8,59.0,95.50,54.0,0
2016-17,regular-season,-,04/12/2017,W,48,111.0,104.3,6.7,61.5,1.41,19.0,27.5,64.6,47.7,18.7,57.1,58.9,92.00,53.6,0
2016-17,regular-season,-,04/12/2017,W,48,104.0,102.0,2.0,50.0,1.82,15.3,24.1,65.3,43.7,11.1,48.9,51.9,98.50,53.6,0
2016-17,regular-season,-,04/12/2017,W,48,118.8,116.5,2.3,41.5,0.89,12.8,41.7,58.0,50.0,19.8,54.8,58.7,96.50,50.3,0
2016-17,regular-season,-,04/12/2017,L,48,116.8,121.8,-5.0,77.1,2.47,24.7,27.7,-,-,14.9,58.8,60.5,101.00,50.2,0
2016-17,regular-season,-,04/12/2017,W,48,121.8,116.8,5.0,82.2,3.70,23.9,-,72.3,-,9.9,56.2,57.6,101.00,49.8,0
2016-17,regular-season,-,04/12/2017,L,48,116.5,118.8,-2.3,45.7,1.62,15.2,42.0,58.3,50.0,13.4,53.2,55.5,96.50,49.7,0
